Day,Visitors
1,9490
2,8780
3,6885
4,9075
5,8943
6,7554
7,8033
8,7717
9,8387
10,8781
11,7723
12,7758
13,7106
14,9117
15,9135
16,8502
17,8943
18,7961
19,9573
20,8909
21,9179
22,10467
23,11214
24,9291
25,10437
26,8432
27,10818
28,9351
29,8970
30,8144
31,8740
32,7474
33,7879
34,9537
35,9312
36,8217
37,7804
38,8877
39,7779
40,7743
41,7113
42,7650
43,7376
44,7598
45,7863
46,8512
47,9318
48,9796
49,10237
50,9656
51,9823
52,9532
53,9792
54,11373
55,10100
56,9458
57,9741
58,9164
59,9535
60,9915
61,8227
62,7162
63,8030
64,8623
65,8443
66,7182
67,8928
68,9890
69,9510
70,9633
71,9499
72,9333
73,9164
74,9783
75,8860
76,8658
77,8828
78,8229
79,7154
80,8077
81,7976
82,8283
83,6883
84,7143
85,6660
86,7594
87,8020
88,8607
89,8211
90,8720
91,9320
92,8307
93,8642
94,8279
95,7820
96,9237
97,8660
98,9776
99,10627
100,9634
101,8721
102,7795
103,7327
104,7956
105,7333
106,8968
107,8038
108,7894
109,5038
110,7458
111,7172
112,7977
113,10122
114,10491
115,8986
116,7929
117,6983
118,7074
119,6993
120,6363
121,7230
122,8348
123,7654
124,8703
125,9034
126,8288
127,8154
128,7338
129,8437
130,8971
131,11652
132,11457
133,10699
134,9875
135,8928
136,7253
137,8338
138,8487
139,6750
140,7106
141,7068
142,7171
143,7571
144,7562
145,8002
146,8216
147,9691
148,9108
149,7907
150,9477
151,8172
152,8906
153,7742
154,7974
155,8180
156,8343
157,8608
158,9990
159,9253
160,8390
161,7481
162,8740
163,9597
164,10306
165,9203
166,10793
167,9776
168,10019
169,9361
170,9085
171,10012
172,9259
173,10445
174,9695
175,10852
176,10786
177,11299
178,9506
179,9179
180,8703
181,9057
182,8683
183,9738
184,9040
185,8730
186,8397
187,9354
188,8397
189,7798
190,8539
191,10034
192,9605
193,8568
194,9616
195,8973
196,7842
197,7105
198,8501
199,6432
200,5318
201,6876
202,6831
203,7186
204,8736
205,7751
206,7586
207,8886
208,9093
209,9302
210,9048
211,9394
212,10114
213,10063
214,9882
215,8980
216,8326
217,9008
218,8226
219,8286
220,9295
221,7735
222,7569
223,8850
224,9594
225,8797
226,7585
227,8325
228,6205
229,5544
230,6863
231,8232
232,8539
233,8786
234,8555
235,9374
236,7863
237,8761
238,9185
239,9609
240,10301
241,8313
242,8708
243,8784
244,9360
245,8392
246,8656
247,7935
248,9036
249,9551
250,9516
251,9849
252,10821
253,12105
254,11169
255,11808
256,11266
257,11470
258,10723
259,9956
260,9126
261,10046
262,10251
263,10348
264,12609
265,10503
266,9585
267,9280
268,10115
269,10182
270,9931
271,10012
272,10682
273,9214
274,8676
275,9426
276,9277
277,9471
278,9355
279,10206
280,10271
281,11126
282,9719
283,9346
284,9230
285,9037
286,9192
287,8734
288,8430
289,8218
290,8440
291,9070
292,8364
293,9239
294,8858
295,9765
296,8712
297,10813
298,10226
299,11752
300,12336
301,11512
302,11033
303,11164
304,10390
305,9234
306,9824
307,8460
308,7163
309,8761
310,8350
311,9799
312,10875
313,8683
314,10152
315,9193
316,10124
317,8301
318,9002
319,7901
320,7355
321,9310
322,9789
323,9179
324,8568
325,9872
326,8020
327,9218
328,9949
329,10546
330,10348
331,10559
332,10029
333,9740
334,10890
335,10537
336,10728
337,10254
338,10875
339,8917
340,7775
